candidate_id,category,script,user_text,assistant_text,decision,dialect_ok,factual_ok,instruction_ok,natural_ok,edited_user_text,edited_assistant_text,notes
translation_000001,translation,arabic,ترجم للدارجة الجزائرية: I’ll call you when I get home.,نعيطلك كي نوصل للدار.,accept,yes,yes,yes,yes,,,Clear and natural
translation_000002,translation,arabic,"حوّل هاذ الجملة للدارجة الجزائرية: Je suis désolé, je ne pourrai pas venir demain parce que je travaille.",سمحلي، ما نقدرش نجي غدوة على خاطر نخدم.,accept,yes,yes,yes,yes,,,Clear and natural
translation_000003,translation,arabic,كيفاش نقولو بالدارجة الجزائرية: Please send me the address before you leave.,ابعثلي العنوان قبل ما تخرج، من فضلك.,accept,yes,yes,yes,yes,,,Clear and natural
translation_000004,translation,arabic,ترجم للدارجة: لا أستطيع الحضور اليوم لأن لدي موعد في المساء.,ما نقدرش نجي اليوم على خاطر عندي موعد لعشية.,accept,yes,yes,yes,yes,,,Clear and natural
translation_000005,translation,arabic,ترجم للإنجليزية: راني نستنى فيك من الصباح وما جيتش.,"I’ve been waiting for you since this morning, and you didn’t come.",accept,yes,yes,yes,yes,,,Clear and natural
translation_000006,translation,arabic,"حوّل هاذ الرسالة للدارجة الجزائرية: Merci pour ton aide, ça m'a vraiment beaucoup aidé.",صحيت على المساعدة تاعك، عاونتني بزاف بصح.,accept,yes,yes,yes,yes,,,Clear and natural
translation_000007,translation,arabic,"ترجم للدارجة الجزائرية بطريقة طبيعية: Don’t worry, everything will be fine.",ما تقلقش، إن شاء الله كلش يكون مليح.,accept,yes,yes,yes,yes,,,Clear and natural
translation_000008,translation,arabic,ترجم للفرنسية: واش راك دير هاذ الأيام؟,Qu’est-ce que tu fais ces jours-ci ?,accept,yes,yes,yes,yes,,,Clear and natural
translation_000009,translation,arabic,ترجم هاذ الجملة للدارجة الجزائرية، وخليها مهذبة: Could you wait for me for a few minutes?,تقدر تستناني شوية دقايق، من فضلك؟,accept,yes,yes,yes,yes,,,Clear and natural
translation_000010,translation,arabic,"كيفاش نقولو بالدارجة الجزائرية: I forgot to charge my phone last night, so it turned off this morning.",نسيت نشارجي التليفون البارح بالليل، وطفا عليا هاذ الصباح.,accept,yes,yes,yes,yes,,,Clear and natural
translation_000011,translation,arabic,ترجم للدارجة الجزائرية: إذا لم تجد ما تبحث عنه، أخبرني وسأساعدك.,إذا ما لقيتش واش راك تقلب عليه، قولي ونعاونك.,accept,yes,yes,yes,yes,,,Clear and natural
translation_000012,translation,arabic,ترجم للإنجليزية: ما تحكمش عليه من أول مرة، يمكن غير كان تعبان.,Don’t judge him the first time; maybe he was just tired.,accept,yes,yes,yes,yes,,,Clear and natural
translation_000013,translation,arabizi,T7awelha l Darija ta3 Dzayer: I thought you were going to call me yesterday.,حسبتك راح تعيطلي البارح.,accept,yes,yes,yes,yes,,,Clear and natural
translation_000014,translation,arabizi,N7eb traduction l français: راني ما فهمتش واش حبيت تقول بالضبط.,Je n’ai pas bien compris ce que tu voulais dire exactement.,accept,yes,yes,yes,yes,,,Clear and natural
translation_000015,translation,arabizi,Trodli hadi b Darija dziriya: Please remind me tomorrow morning because I might forget.,Fakerini ghodwa sba7 3la khater ymken nensa.,accept,yes,yes,yes,yes,,,Clear and natural
translation_000016,translation,arabizi,Kifach n9oul بالإنجليزية: مازال ما قررتش واش ندير؟,I still haven’t decided what to do.,accept,yes,yes,yes,yes,,,Clear and natural
translation_000017,translation,mixed,"ترجم للدارجة الجزائرية: I have a rendez-vous at 3, so I need to leave early.",عندي rendez-vous مع الثلاثة، لازم نخرج بكري.,accept,yes,yes,yes,yes,,,Clear and natural
translation_000018,translation,mixed,حوّل هاذ الرسالة للدارجة: Je t’envoie le document ce soir dès que je termine le travail.,نبعثلك الـdocument الليلة كي نكمل الخدمة.,accept,yes,yes,yes,yes,,,Clear and natural
translation_000019,translation,mixed,ترجم للإنجليزية: إذا ما خدمش الـapplication، عاود جرّب من بعد.,"If the application doesn’t work, try again later.",accept,yes,yes,yes,yes,,,Clear and natural
translation_000020,translation,mixed,ترجم هاذ الجملة للدارجة الجزائرية بطريقة طبيعية: Je suis en retard à cause du problème de transport.,راني تأخرت على جال مشكل في النقل.,accept,yes,yes,yes,yes,,,Clear and natural
