candidate_id,category,script,user_text,assistant_text,decision,dialect_ok,factual_ok,instruction_ok,natural_ok,edited_user_text,edited_assistant_text,notes
reasoning_000001,reasoning,arabic,عندي غير ساعة قبل ما نخرج، ولازم نوجد روحي، ناكل، ونكمل حاجة صغيرة فالخدمة. واش ندير الأول؟,إذا الحاجة تاع الخدمة عندها وقت محدد ولا الناس راهم يستناوها، ديرها الأول. من بعد وجد روحك، وخلي الماكلة لآخر حاجة إذا تقدر تاكل بسرعة. الفكرة هي تبدأ بالحاجة اللي تأخيرها يسببلك أكبر مشكل، ماشي بالضرورة بالحاجة الأسهل.,accept,yes,yes,yes,yes,,,Clear and natural
reasoning_000002,reasoning,arabic,واحد صاحبي قال بلي التليفون تاعو ما كانش يخدم بالليل خاطر البطارية كانت 80%. بصح الصباح لقاها 5%. واش نقدر نستنتج؟,ما نقدرش نستنتجو مباشرة بلي البطارية هبطت بلا سبب. إذا التليفون كان مطفي ولا ما كانش يستعملو، ممكن يكون كاين تطبيق يخدم في الخلفية، مشكل في البطارية، أو سبب آخر. المعلومة الوحيدة المؤكدة هي بلي النسبة هبطت من حوالي 80% لـ5%، أما السبب يحتاج معلومات أكثر.,accept,yes,yes,yes,yes,,,Clear and natural
reasoning_000003,reasoning,arabic,عندي زوج طرق باش نروح لمدينة أخرى: الأولى أرخص بصح تحتاج تبديلة، والثانية أغلى بصح مباشرة. عندي موعد مهم، واش تختار؟,بما أن عندك موعد مهم، الطريق المباشرة غالبا أضمن إذا كان فرق السعر مقبول بالنسبة ليك. التبديلة تزيد نقطة أخرى يقدر يصرا فيها تأخير أو تضيع فيها الرحلة. بصح إذا الفرق في السعر كبير بزاف، لازم تقارن قيمة الوقت مع الميزانية قبل القرار.,accept,yes,yes,yes,yes,,,Clear and natural
reasoning_000004,reasoning,arabic,كل مرة نبدأ نقرا ساعة، نلقى روحي بعد عشرين دقيقة نبدل بين التطبيقات وما نكمل والو. المشكل في الوقت ولا في الطريقة؟,من اللي وصفتو، المشكل يبان أكثر في طريقة القراية والتشتت، ماشي في نقص الوقت. عندك ساعة متاحة بصح جزء منها يروح في تبديل التطبيقات. جرب تحدد مهمة وحدة للـ20 أو30 دقيقة الأولى، سد الإشعارات وخلي التليفون بعيد، ومن بعد شوف واش تحسن التركيز.,accept,yes,yes,yes,yes,,,Clear and natural
reasoning_000005,reasoning,arabic,عندي 12 صفحة لازم نقراهم اليوم. قريت 4 صفحات في ساعة، وباقيلي 8. نقدر نكملهم في ساعتين بنفس الوتيرة؟,إذا بقيت بنفس الوتيرة، نعم. قريت 4 صفحات في ساعة، يعني حوالي 4 صفحات في الساعة. 8 صفحات تحتاج تقريبا ساعتين. بصح هذا تقدير فقط، لأن الصفحات الباقية ممكن تكون أصعب ولا أسهل من الأولى.,accept,yes,yes,yes,yes,,,Clear and natural
reasoning_000006,reasoning,arabic,واحد قاللي: «المنتج هذا غالي، إذن أكيد جودتو خير من المنتج الأرخص». هذي النتيجة منطقية؟,لا، السعر وحدو ما يكفيش باش نستنتجو الجودة. ممكن منتج يكون أغلى بسبب العلامة التجارية، الحجم، التوزيع أو عوامل أخرى. باش نقارنو الجودة لازم نشوفو المواصفات، المواد، الأداء وتجارب الاستعمال، حسب نوع المنتج.,accept,yes,yes,yes,yes,,,Clear and natural
reasoning_000007,reasoning,arabic,عندي ثلاثة حوايج: وحدة لازم تتسلم غدوة، وحدة بعد ثلاثة أيام، ووحدة ما عندهاش deadline. اليوم عندي غير ساعتين. كيفاش نرتبهم؟,ابدأ بالحاجة اللي deadline تاعها غدوة، لأنها عندها أعلى أولوية. من بعد إذا بقى وقت، خدم على اللي deadline تاعها بعد ثلاثة أيام. الحاجة اللي ما عندهاش deadline خليها للوقت المتبقي ولا ليوم آخر، إلا إذا كانت مرتبطة مباشرة بواحدة من المهام المستعجلة.,accept,yes,yes,yes,yes,,,Clear and natural
reasoning_000008,reasoning,arabic,قلت لواحد بلي المحل كان مسكر على 8، وهو قاللي شافو مفتوح على 8:30. نقدر نقولو واحد فينا يكذب؟,ماشي بالضرورة. ممكن تكونو تهدرو على نهارين مختلفين، ولا تبدلت ساعات الخدمة، ولا واحد فيكم غلط في الوقت. قبل ما نستنتجو بلي كاين كذب، لازم نثبتو نفس اليوم ونفس المحل ونفس التوقيت.,accept,yes,yes,yes,yes,,,Clear and natural
reasoning_000009,reasoning,arabic,إذا نحب نوفر في مصاريف النقل، خير نشري abonnement شهري ولا نخلص كل مرة؟,لازم تعرف أولا شحال من رحلة تدير في الشهر وسعر الرحلة وسعر abonnement. إذا عدد الرحلات كبير لدرجة أن مجموع التذاكر يفوت سعر الاشتراك، الاشتراك يكون أوفر. إذا تستعمل النقل غير مرات قليلة، الدفع كل مرة غالبا يكون منطقي أكثر.,accept,yes,yes,yes,yes,,,Clear and natural
reasoning_000010,reasoning,arabic,عندي امتحان بعد يومين، نفهم الدروس كامل بصح نغلط بزاف في التمارين. نزيد نقرا الدروس ولا نركز على التمارين؟,بما أن الفهم الأساسي موجود والمشكل يظهر في التطبيق، ركز أكثر على التمارين. حلهم وحدك، ومن بعد راجع الأخطاء وشوف واش النوع اللي يتعاود عندك. تقدر ترجع للدرس غير كي تلقى مفهوم معين هو اللي سبب الغلطة.,accept,yes,yes,yes,yes,,,Clear and natural
