candidate_id,category,script,user_text,assistant_text,decision,dialect_ok,factual_ok,instruction_ok,natural_ok,edited_user_text,edited_assistant_text,notes
safety_000001,safety,arabic,شمّيت ريحة غاز قوية فالدار، واش ندير؟,إذا الريحة قوية، اخرج من الدار أنت والناس لي معاك وخليكم بعيد على المكان. ما تشعل حتى حاجة وما تستعملش مفاتيح الكهرباء ولا أي حاجة تقدر تدير شرارة. من بلاصة آمنة اتصل بالحماية المدنية أو الجهة المختصة.,accept,yes,yes,yes,yes,,,Clear and natural
safety_000002,safety,arabic,كاين دخان خارج من بريزة فالصالون، نقدر نصب عليها الماء؟,لا، ما تصبش الماء على بريزة ولا جهاز كهربائي فيه خطر. إذا تقدر بأمان، ابعد الناس على المكان واقطع الكهرباء من القاطع الرئيسي بلا ما تقرب للخطر. إذا كاين نار ولا الدخان راهو يزيد، اخرج واتصل بالحماية المدنية.,accept,yes,yes,yes,yes,,,Clear and natural
safety_000003,safety,arabic,واحد طاح قدامي فالطريق وما راهوش يجاوبني، كيفاش نتصرف؟,أول حاجة تأكد بلي المكان آمن وما كاش خطر عليك. نادي عليه وحاول تشوف إذا يرد، وإذا ما جاوبش اتصل فوراً بالإسعاف أو الحماية المدنية واتبع التعليمات لي يعطوهالك. ما تحركوش بلا ضرورة، خاصة إذا كان الحادث قوي.,accept,yes,yes,yes,yes,,,Clear and natural
safety_000004,safety,arabic,كي نكون نسوق فالشتا القوية، واش لازم نبدل في السياقة؟,نقص السرعة وخلي مسافة أكبر بينك وبين السيارة لي قدامك، خاطر الطريق يقدر يولي زلق ومسافة التوقف تزيد. تجنب الفرانات والمناورات المفاجئة، وإذا الرؤية ولات سيئة بزاف وقف في مكان آمن حتى تتحسن.,accept,yes,yes,yes,yes,,,Clear and natural
safety_000005,safety,arabic,جاوني message يقول ربحت جائزة ويطلب مني ندخل كلمة السر تاع الحساب في رابط. نفتحوا؟,لا، ما تفتحوش وما تدخل حتى معلومة فيه. هاذي من العلامات لي تقدر تدل على phishing. إذا حبيت تتأكد من الجائزة، روح للموقع الرسمي وحدك من العنوان المعروف وما تستعملش الرابط لي جاك في الرسالة.,accept,yes,yes,yes,yes,,,Clear and natural
safety_000006,safety,arabic,نستعمل نفس كلمة السر في كامل حساباتي باش ما ننساهاش. واش فيها مشكل؟,إيه، فيها خطر: إذا تسربت كلمة السر من حساب واحد، يقدرو يجربوها في حساباتك الأخرى. الأفضل تستعمل كلمات سر مختلفة وقوية، وإذا صعيب تحفظهم كامل استعمل password manager موثوق وفعل التحقق بخطوتين وين يكون متوفر.,accept,yes,yes,yes,yes,,,Clear and natural
safety_000007,safety,arabic,طيحت عليا شوية ماء سخون على يدي، والجلد راهو يوجعني. واش ندير؟,بعد يدك على مصدر السخانة وحطها تحت ماء جاري بارد أو فاتر باش تبرد المنطقة. ما تحطش الثلج مباشرة وما تدهنش عليها مواد عشوائية. إذا الحرق كبير، عميق، ولا راهو في مكان حساس، الأفضل تطلب تقييم طبي.,accept,yes,yes,yes,yes,,,Clear and natural
safety_000008,safety,arabic,نقدر نخلي chargeur تاع الهاتف موصول طول الليل فوق السرير؟,الأحسن ما تخليش الشاحن فوق السرير ولا تحت الغطاء، خاصة إذا يقدر يسخن وما كاش تهوية مليحة. استعمل شاحن وكابل بحالة مليحة وخلي الجهاز والشاحن فوق سطح صلب وما يغطيهم حتى شيء.,accept,yes,yes,yes,yes,,,Clear and natural
safety_000009,safety,arabic,راني تعبان بزاف ونعسني وأنا نسوق، بصح باقيلي غير شوية ونوصل. نكمل ولا نوقف؟,ما تكملش وأنت تغلبك النعسة. وقف في بلاصة آمنة وخذ راحة قبل ما ترجع تسوق. القهوة وحدها ماشي ضمان بلي راح تولي مركز؛ إذا راك مازلت نعسان، ما ترجعش للطريق حتى تولي قادر تسوق بأمان.,accept,yes,yes,yes,yes,,,Clear and natural
safety_000010,safety,arabic,لقيت clé USB في الخدمة وما نعرفش شكون حطها. نقدر ندخلها فالـordinateur باش نشوف واش فيها؟,الأحسن ما تدخلهاش مباشرة في الكمبيوتر، خاصة إذا ما تعرفش مصدرها. الـUSB المجهول يقدر يحتوي على ملفات ضارة. سلمها للمسؤول ولا لقسم الـIT إذا كاين، وخليهم يتعاملو معاها بالطريقة المناسبة.,accept,yes,yes,yes,yes,,,Clear and natural
safety_000011,safety,arabic,إذا كنت في مكان عام واستعملت Wi-Fi مجاني، نقدر ندخل للحساب البنكي عادي؟,الأفضل تتجنب العمليات الحساسة كيما الحساب البنكي على Wi-Fi عمومي غير موثوق. إذا لازمك تدخل، استعمل اتصال موثوق قدر الإمكان وتأكد من الموقع والتطبيق، وما تدخلش معلومات حساسة في صفحات مشبوهة.,accept,yes,yes,yes,yes,,,Clear and natural
safety_000012,safety,arabic,كاين ريح قوية بزاف والبرق راهو قريب. نقدر نبقى فالسطح نصور؟,لا، الأحسن تدخل لمكان مغلق وآمن وما تبقاش في السطح. أثناء العاصفة ابعد على الأماكن المكشوفة والأشياء المعدنية، وما تخرجش غير باش تصور. استنى حتى تهدأ الحالة.,accept,yes,yes,yes,yes,,,Clear and natural
safety_000013,safety,arabizi,L9it chargeur ta3 téléphone l'câble ta3ou m9atta3 chwiya. N9der nst3mlou ida mazal ychargi?,Ma nans7ekch تستعملو وهو متضرر، خصوصاً إذا الأسلاك باينة ولا الكابل يسخن. بدل الكابل بواحد بحالة مليحة، وما تحاولش تصلحو بشريط لاصق وتخليه للاستعمال العادي.,accept,yes,yes,yes,yes,,,Clear and natural
safety_000014,safety,arabizi,Wa7ed 3ayatli وقال بلي راهو support ta3 compte w 7ab code li yji SMS. N3tihoulou?,"La, ma t3tih 7atta code yjiك f SMS. Les codes ta3 verification ma لازمش تشاركهم مع شخص يتصل بيك، حتى لو قالك بلي راهو support. Ila شكيت، سكر المكالمة وروح للـservice الرسمي وحدك.",accept,yes,yes,yes,yes,,,Clear and natural
safety_000015,safety,arabizi,Rani fi voiture w l'conducteur راهو يستعمل téléphone وهو يسوق. N9der n9olou y7بس؟,"Ih, 9olou bهدوء بلي استعمال téléphone وهو يسوق يقدر يشتتو ويزيد الخطر. Ila ma t9derch t9olou مباشرة، على الأقل ما تشجعوش ولا تشغلو عليه، وإذا الوضع ولى خطر حاول تبقى هادئ وتبعد على أي تصرف يقدر يزيد الحادث.",accept,yes,yes,yes,yes,,,Clear and natural
safety_000016,safety,arabizi,Nst3ml laptop f bureau w kayen câble ta3 chargeur dayem f tri9. Kifach n9der نتفادى نتعثر؟,Rattab câble بعيد على passage، وإذا تقدر استعمل cable management ولا مررو على جنب المكتب. ما تخليش السلك مشدود وسط الطريق، خاصة في بلاصة الناس يدوزو منها بزاف.,accept,yes,yes,yes,yes,,,Clear and natural
safety_000017,safety,mixed,الـlaptop تاعي راهو يسخن بزاف وخرجت ريحة غريبة، نكمل نخدم عليه ولا نحبسو؟,إذا كاينة سخانة غير عادية مع ريحة غريبة، الأحسن توقف الاستعمال وتفصل الشاحن إذا تقدر تديرها بأمان، وحط الجهاز بعيد على الحوايج القابلة للاشتعال. ما تفتحوش وما تحاولش تصلحو وحدك إذا كاين خطر، وخليه يتفحص عند تقني مؤهل.,accept,yes,yes,yes,yes,,,Clear and natural
safety_000018,safety,mixed,واحد بعثلي message باسم support تاع الموقع وقال لازم نأكد compte تاعي خلال 10 دقايق وإلا يتغلق. الرابط يبان صحيح، واش ندير؟,الاستعجال وحدو علامة تخليك تحذر، حتى لو الرابط يبان صحيح. ما تدخلش كلمة السر ولا code من الرابط؛ افتح الموقع الرسمي وحدك وتأكد من حالة الـcompte من تما. وإذا عندك شك، تواصل مع support عبر القناة الرسمية.,accept,yes,yes,yes,yes,,,Clear and natural
safety_000019,safety,mixed,في الورشة كاين واحد الجهاز بدا يخرج دخان، بصح المسؤول قال غير كملو الخدمة حتى يجي التقني. واش ندير؟,إذا الجهاز راهو يخرج دخان، ما تكملش تخدم عليه وكُن بعيد عليه وعلى أي خطر محتمل. بلغ المسؤول فوراً، وإذا كاين احتمال حريق اتبع إجراءات السلامة تاع المكان واخرج للمنطقة الآمنة عند الحاجة. ما تحاولش تفتح الجهاز ولا تصلحو وحدك.,accept,yes,yes,yes,yes,,,Clear and natural
