candidate_id,category,script,user_text,assistant_text,decision,dialect_ok,factual_ok,instruction_ok,natural_ok,edited_user_text,edited_assistant_text,notes
humor_000001,humor,arabic,قلت لروحي اليوم نفيق بكري ونقرا من الصباح.,والمخ تاعك جاوبك: فكرة مليحة، نبدأو غدوة باش نكونو واجدين.,accept,yes,yes,yes,yes,,,Clear and natural
humor_000002,humor,arabic,علاش كي نفتح الثلاجة كل شوية مع بلي عارف واش كاين فيها؟,يمكن تستنى تلقى تحديث جديد… الثلاجة عندك ماشي Netflix باش كل دقيقة تلقى حاجة جديدة.,accept,yes,yes,yes,yes,,,Clear and natural
humor_000003,humor,arabic,أمي قالتلي روح جيب الخبز، قلتلها حاضر. من بعد نسيت علاش خرجت من الدار أصلاً.,هذي ماشي خرجة للخبز، هذي رحلة استكشافية. رجعت بالخبرة والتجربة… والخبز بقى في المحل.,accept,yes,yes,yes,yes,,,Clear and natural
humor_000004,humor,arabic,عندي موعد مع صاحبي على الثمانية، وهو قاللي راهو قريب.,في قاموس الصحاب، «قريب» ماشي مسافة… هذي وحدة زمنية مستقلة ومازال العلماء ما حددوش قيمتها.,accept,yes,yes,yes,yes,,,Clear and natural
humor_000005,humor,arabic,اعطيني رد مضحك على واحد قالي: راك تبدلت.,قولّو: «صح، درت update… بصح مازال نفس الـbug القديم.»,accept,yes,yes,yes,yes,,,Clear and natural
humor_000006,humor,arabic,كل مرة نقول نبدا الدايت من نهار الاثنين.,الاثنين عندك راهو ماشي نهار، راهو مشروع مؤجل من عام لعام.,accept,yes,yes,yes,yes,,,Clear and natural
humor_000007,humor,arabic,واش هو أصعب سؤال في الامتحان؟,«عندكم سؤال؟» كي يجاوب الأستاذ: «لا، كامل واضح؟» وانت تشوف الورقة وتقول في بالك: واضح غير بلي رانا ضايعين.,accept,yes,yes,yes,yes,,,Clear and natural
humor_000008,humor,arabic,صاحبي قالي راح يجي غير خمس دقايق وبقالو ساعة ما بانش.,خمس دقايق عندو عندها نظام توقيت خاص. يمكن راهو يستعمل ساعة بتوقيت المريخ.,accept,yes,yes,yes,yes,,,Clear and natural
humor_000009,humor,arabic,حبيت نكتب جملة مضحكة على واحد ديما يقول «ما نطولش في الهاتف» وبعد تلقاه ثلاث ساعات في تيك توك.,قول: «أنا ما نطولش في الهاتف، الهاتف هو لي يطول معايا.» ثلاث ساعات وهو مازال يحاول يقنع روحو بلي كان غير شوية.,accept,yes,yes,yes,yes,,,Clear and natural
humor_000010,humor,arabic,كي نكون مستعجل، الطاكسي يبانلي كامل راهم متفقين يختفو.,أكيد، الطاكسيات عندهم groupe secret. غير تقول «راني مستعجل» يبعثولك notification: «خلوه يستنى شوية باش يتعلم الصبر.»,accept,yes,yes,yes,yes,,,Clear and natural
humor_000011,humor,arabic,عندي بزاف خدمة وقررت ندير pause خمس دقايق.,قرار حكيم. غير دير بالك، الـpause تاعنا عندها موهبة تتحول لفيلم، قهوة، هاتف، ومن بعد تلقى روحك تقول: «غدوة نكمل.»,accept,yes,yes,yes,yes,,,Clear and natural
humor_000012,humor,arabic,وصفلي واحد ما يحبش يجاوب في التليفون.,هو ماشي ما يحبش التليفون، غير كي يرنّ يولي فجأة عندو مبدأ: «نعاود نعيطلو من بعد»… ومن بعد هذي تقدر تدوم حتى يتبدل العام.,accept,yes,yes,yes,yes,,,Clear and natural
humor_000013,humor,arabizi,Kifach n9ol lsa7bi belli 3ando talent kbiiir f ta5ir?,"9olou: «Rak machi tet2akher, rak tji f timing stratégique.»",accept,yes,yes,yes,yes,,,Clear and natural
humor_000014,humor,arabizi,"Ana kol mara n9oul nrou7 n9ra 20 d9i9a bark, w nلقى rou7i f YouTube ba3d sa3a.","Hadi machi procrastination, hadi recherche scientifique… rak tdir étude approfondie 3la kifach ma tqrach.",accept,yes,yes,yes,yes,,,Clear and natural
humor_000015,humor,arabizi,Sa7bi 9ali «jaya daba» w rahou mn sba7 ma banش.,"Daba 3andou système temporel privé. Ma tkhafch, ki ywasel y9olk «wallah ma tweltch.»",accept,yes,yes,yes,yes,,,Clear and natural
humor_000016,humor,arabizi,3andi examen ghodwa w mazal ma bdit walo. Donne-moi motivation 😂,"Yallah khouya, mazel lwa9t… ila ma t9rach chapitre كامل، اقرا العنوان وادخل بالثقة. 😂",accept,yes,yes,yes,yes,,,Clear and natural
humor_000017,humor,mixed,غدوة عندي réunion على الثمانية، وأنا نكره الصباح.,دير préparation psychologique من الليلة: حط réveil، حضّر القهوة، وعلّق ورقة مكتوب فيها «علاش وافقت على هاذ الـmeeting؟» باش تلقى motivation.,accept,yes,yes,yes,yes,,,Clear and natural
humor_000018,humor,mixed,بعثت CV تاعي وقلت نستنى الرد بهدوء.,«بهدوء» كلمة كبيرة شوية. بعد ساعتين تلقى روحك تفتح الـmail كل 30 ثانية وكأن الـrecruiter راهو يكتب الرد قدام عينيك.,accept,yes,yes,yes,yes,,,Clear and natural
humor_000019,humor,mixed,اللابتوب تاعي كي نكون مستعجل عليه يقرر يدير update.,الـlaptop عندو timing ممتاز: طول النهار ساكت، غير كي تكون عندك urgence يقولك «خليني نزيدلك شوية patience مع الـupdate.»,accept,yes,yes,yes,yes,,,Clear and natural
humor_000020,humor,mixed,حبيت نكتب description مضحكة لواحد ياكل ويقول مازال ما شبعتش.,هو ما ياكلش باش يشبع، هو يدير continuous training للمعدة. كل طبق بالنسبة ليه غير version جديدة من نفس الـmodel.,accept,yes,yes,yes,yes,,,Clear and natural
