candidate_id,category,script,user_text,assistant_text,decision,dialect_ok,factual_ok,instruction_ok,natural_ok,edited_user_text,edited_assistant_text,notes
commerce_000001,commerce,arabic,لقيت زوج عروض على نفس النوع تاع القهوة: وحدة بـ 480 دج للكيلو، ووحدة بـ 430 دج بصح لازم نشري زوج كيلو. واش الفرق بيناتهم؟,إذا العرض الثاني راهو 430 دج للكيلو، زوج كيلو يجو بـ860 دج، يعني الكيلو أرخص بـ50 دج من العرض الأول. بصح إذا ما تحتاجش زوج كيلو، العرض الأول يخلّيك تشري غير الكمية لي تحتاجها.,accept,yes,yes,yes,yes,,,Clear and natural
commerce_000002,commerce,arabic,إذا السلعة بـ 3500 دج وزيد عليها 400 دج توصيل، شحال نخلص كامل؟,تخلص 3900 دج كامل: 3500 دج تاع السلعة + 400 دج تاع التوصيل.,accept,yes,yes,yes,yes,,,Clear and natural
commerce_000003,commerce,arabic,هذاك الـ20% discount راهو مليح ولا غير marketing؟ السعر قبل التخفيض 5000 دج.,20% من 5000 دج هي 1000 دج، يعني السعر بعد التخفيض يولي 4000 دج. واش راهو مليح ولا لا يتوقف على السعر العادي لنفس المنتج عند البياعة الآخرين؛ النسبة وحدها ما تكفيش باش نحكمو.,accept,yes,yes,yes,yes,,,Clear and natural
commerce_000004,commerce,arabic,حاب نشري تلفاز مستعمل من واحد، واش لازم نسقسيه ونشوف قبل ما نخلص؟,سقسيه على العمر تاع التلفاز، واش كان فيه عطب قبل، وعلاش راهو يبيعو. جرّبو قدامك وشوف الصورة، الصوت، المداخل والريموت، وإذا عندو فاتورة ولا ضمان قديم خليه يمدهملك. والأهم ما تخلصش قبل ما تتأكد بلي الحالة توافق واش قالك عليها.,accept,yes,yes,yes,yes,,,Clear and natural
commerce_000005,commerce,arabic,البياع قالي السلعة أصلية بصح العلبة ما فيهاش معلومات واضحة وما حبش يمدلي فاتورة. نشريها؟,أنا ما نستعجلش في هاذ الحالة. غياب المعلومات والفاتورة ما يثبتش وحدو بلي السلعة مقلدة، بصح يزيد الشك. سقسيه على مصدرها، الضمان، ورقم الموديل ولا السيريال إذا كاين، وقارن التفاصيل مع معلومات الشركة المصنعة. إذا بقى يتهرب، الأحسن ما تخاطرش.,accept,yes,yes,yes,yes,,,Clear and natural
commerce_000006,commerce,arabic,شريت حذاء من محل وكي روحت للدار لقيتو يضيق عليا. نقدر نبدلو؟,هذا يعتمد على سياسة المحل وشروط البيع. شوف واش مكتوب في الفاتورة ولا اسقسي البياع إذا يقبلو échange، خصوصا إذا الحذاء ما تستعملش وباقي بحالتو. ما نقدرش نقولك بلي كل المحلات عندها نفس السياسة.,accept,yes,yes,yes,yes,,,Clear and natural
commerce_000007,commerce,arabic,عندي 6000 دج، وحاب نشري حاجة بـ5200 دج والتوصيل 600 دج. يبقى لي شحال؟,المجموع يولي 5800 دج، يعني يبقى لك 200 دج من الـ6000 دج.,accept,yes,yes,yes,yes,,,Clear and natural
commerce_000008,commerce,arabic,البياع راهو طالب 7000 دج على طابلة مستعملة، وأنا نشوف فيها شوية خدوش. كيفاش نفاوضو بلا ما نظلمو؟,قولّو بهدوء بلي شفت الخدوش وبلي السعر بالنسبة للحالة يبانلك طالع شوية، ومن بعد قدم عرض معقول مبني على الحالة، ماشي غير تنقص السعر وخلاص. وإذا ما اتفقتوش، تقدر تخليه وتقلّب على عرض آخر.,accept,yes,yes,yes,yes,,,Clear and natural
commerce_000009,commerce,arabic,لقيت pack فيه 6 قراعي بـ720 دج، ونفس القارورة وحدها بـ130 دج. واش الأرخص؟,في الـpack، القارورة الواحدة تخرج بـ120 دج، خاطر 720 ÷ 6 = 120. يعني الـpack أوفر بـ10 دج في القارورة مقارنة بالسعر الفردي 130 دج.,accept,yes,yes,yes,yes,,,Clear and natural
commerce_000010,commerce,arabic,طلبت حاجة من عند بائع أونلاين وقالّي التوصيل متوفر غير لبعض الولايات. نقدر نسقسيه قبل ما نأكد الطلب؟,أكيد، والأحسن تسقسيه قبل ما تأكد. قولّو الولاية لي راك فيها، واسقسيه على توفر التوصيل، السعر، والمدة التقريبية، وزيد تأكد واش الدفع عند الاستلام متوفر ولا لا إذا كان هذا مهم بالنسبة لك.,accept,yes,yes,yes,yes,,,Clear and natural
commerce_000011,commerce,arabic,واش أحسن: منتوج بـ9000 دج عندو ضمان، ولا نفس النوع بـ7500 دج بلا ضمان؟,ما نقدرش نقول بلي الأغلى أحسن مباشرة. الفرق 1500 دج، فإذا الضمان يغطي أعطال مهمة والمنتوج حساس أو غالي التصليح، ممكن يكون فرق السعر منطقي. أما إذا المنتج بسيط والنسخة الأرخص حالتها مضمونة، ممكن 7500 دج تكون كافية. شوف بالضبط واش يغطي الضمان ومدة صلاحيته قبل القرار.,accept,yes,yes,yes,yes,,,Clear and natural
commerce_000012,commerce,arabic,واحد في marketplace راهو عارض ساعة بسعر ناقص بزاف على السعر لي نشوفو عادة، وراه يضغط عليا باش نخلص اليوم. واش ندير؟,ما تستعجلش غير على خاطر راهو يقول العرض غير اليوم. حاول تتأكد من حالة الساعة، مصدرها، الصور والمعلومات، واسقسي على الفاتورة والضمان إذا كاين. وإذا طلب منك طريقة دفع غير واضحة أو رفض يعطيك معلومات أساسية، الأحسن توقف حتى تتأكد.,accept,yes,yes,yes,yes,,,Clear and natural
commerce_000013,commerce,arabizi,Chrit pantalon online w ki wasel l9it taille ma hich kifma 9oltlo. N9der nbdlou?,"T9der tbdlou ila vendeur y9bel retour wela échange, بصح chof politique ta3ou w wach kayen délai محدد. Khalli pantalon kifma howa w ma تستعملوش حتى تتفاهم معاه.",accept,yes,yes,yes,yes,,,Clear and natural
commerce_000014,commerce,arabizi,"Rani hab nchri imprimante b 12000da, bsah livraison 700da. Kayna wa7da okhra b 12700da w livraison gratuite. Anhi akhef?","L'oulа tji 12700da كامل، 12000 + 700. Tania zada 12700da، donc men jihet prix final rahom kif kif. Ila kayen far9 f garantie wela qualité, hada howa li y9der y7sem.",accept,yes,yes,yes,yes,,,Clear and natural
commerce_000015,commerce,arabizi,Kifach n9der n3ref belli parfum li hab nchrih original machi copie?,"Ma تعتمدش 3la l'emballage bark. Chof référence, numéro de lot ila kayen, qualité ta3 l'impression, المصدر والفاتورة، وقارن المعلومات مع المصدر الرسمي تاع الماركة. Ila vendeur ma y7ebch يعطي حتى معلومة على المصدر، khir t7بس شوية قبل الشراء.",accept,yes,yes,yes,yes,,,Clear and natural
