id,category,script,prompt,chosen,rejected,preference_label,preference_reason,annotator,notes
pref_000001,algerian_culture,arabic,وش الفرق بين الكسرة والخبز الدار اللي يديروه فالدار؟,الكسرة هي خبز تقليدي جزائري معروف، غالبا تتدار بالسميد والماء والملح، وتتطيب فوق الطاجين ولا سطح ساخن. أما خبز الدار فالتسمية وطريقة التحضير يقدرو يختلفو من عائلة لعائلة؛ كاين اللي يديروه بالفرينة، كاين بالسميد، وكاين وصفات تخلط بيناتهم. يعني ماشي كل خبز يتدار فالدار نسميوه كسرة.,الكسرة وخبز الدار تقريبًا نفس الحاجة، غير الكسرة تتدار في الدار وخبز الدار يتدار بالفرينة. والكسرة دايمًا تتطيب فوق الطاجين.,chosen,instruction_adherence,A,
pref_000002,algerian_culture,arabic,علاش فالجزائر كي يجي الضيف يصرّو عليه ياكل ويشرب حتى كي يقول بلي شبع؟,هذي داخلة في ثقافة الضيافة عند بزاف العائلات الجزائرية. تقديم الماكلة والقهوة ولا أتاي والحرص بلي الضيف ما يخرجش جايع يتشاف كنوع من الكرم وحسن الاستقبال. طبعا الطريقة تختلف من عائلة لعائلة، وبعض الناس اليوم ولات عندهم عادات أخف من قبل.,خاطر الجزائريين كامل معروفين بلي يصرّو على الضيف ياكل بزاف، وهذي قاعدة عند جميع العائلات. حتى كي يقول الضيف شبع، لازم يزيد ياكل باش يبين بلي راه مرحب بيه.,chosen,instruction_adherence,A,
pref_000003,code_switching,arabic,راني نخدم على مشروع تاع الجامعة، بصح الـdeadline قرب ومازال ما كملتش الجزء الأخير. واش تنصحني ندير؟,قسم الخدمة لي بقات لخطوات صغار، وحدد واش لازم يكمل اليوم وواش يقدر يستنى. ما تضيعش الوقت في التفاصيل الثانوية، ركز على الجزء الضروري باش تلحق الـdeadline.,خدم المشروع كامل دفعة وحدة وما توقفش حتى تكملو. ركز خاصة على التفاصيل الصغيرة باش يخرج المشروع مليح، وحتى إذا فاتك الـdeadline المهم تكون الخدمة كاملة.,chosen,instruction_adherence,A,
pref_000004,code_switching,arabic,التليفون تاعي كل مرة يطلعلي مشكل في الـapplication، ومن بعد يخرج وحدو. واش نقدر نجرب؟,أول حاجة دير update للـapplication إذا كاين، ومن بعد عاود شعل التليفون. إذا بقى نفس المشكل، شوف إذا كاين espace كافي ولا جرّب تحذف الـapplication وترجع تثبتها.,جرب تمسح الـapplication مباشرة وترجع تثبتها، ومن بعد شوف إذا المشكل راح. وإذا ما تصلحش، غالبًا لازم تبدل التليفون ولا تستعمل application أخرى.,chosen,instruction_adherence,A,
pref_000005,commerce,arabic,لقيت زوج عروض على نفس النوع تاع القهوة: وحدة بـ 480 دج للكيلو، ووحدة بـ 430 دج بصح لازم نشري زوج كيلو. واش الفرق بيناتهم؟,إذا العرض الثاني راهو 430 دج للكيلو، زوج كيلو يجو بـ860 دج، يعني الكيلو أرخص بـ50 دج من العرض الأول. بصح إذا ما تحتاجش زوج كيلو، العرض الأول يخلّيك تشري غير الكمية لي تحتاجها.,العرض الأول يجي أرخص، خاطر 480 دج أقل من 860 دج تاع العرض الثاني. يعني الأفضل تشري الكيلو الأول وما تاخذش العرض الثاني.,chosen,instruction_adherence,A,
pref_000006,commerce,arabic,إذا السلعة بـ 3500 دج وزيد عليها 400 دج توصيل، شحال نخلص كامل؟,تخلص 3900 دج كامل: 3500 دج تاع السلعة + 400 دج تاع التوصيل.,تخلص 3500 دج برك، خاطر الـ400 دج تاع التوصيل ما تدخلش في ثمن السلعة.,chosen,instruction_adherence,A,
pref_000007,daily_life,arabic,غدوة عندي نهار معمر، كيفاش نرتب وقتي باش ما نضيعش؟,قبل ما ترقد، كتب كامل الحوايج اللي لازم تديرهم ورتبهم حسب الأولوية. الصباح خليه للحوايج اللي يحتاجو تركيز، والمشاوير ديرهم في نفس الجهة إذا قدرت. وخلي شوية وقت احتياط بين كل حاجة وحاجة باش أي تأخير ما يقلبلكش البرنامج كامل.,كتب كامل المهام وخدمهم بالترتيب اللي جاو في بالك. حاول تعمر نهارك كامل بلا pauses باش تستغل كل دقيقة وما تضيع حتى وقت.,chosen,instruction_adherence,A,
pref_000008,daily_life,arabic,راني نقرا فالدار بصح كل شوية نلقى روحي نحل التليفون، واش ندير؟,حط التليفون بعيد عليك ولا ديرلو mode avion وقت القراية. جرب تقرا 40 ولا 50 دقيقة ومن بعد دير pause قصيرة. وإذا تحتاج التليفون للقراية، سد notifications تاع التطبيقات اللي ما عندهاش علاقة بالدرس.,خلي التليفون حدّاك وما تفتحوش غير كي تكمل القراية. حاول تقرا ساعات طويلة بلا ما تدير pause، هكذا تولي متعود ما تشتتش.,chosen,instruction_adherence,A,
pref_000009,education,arabic,تقدر تشرحلي كيفاش نحسبو مساحة المثلث؟,إيه. مساحة المثلث نحسبوها بالقانون: المساحة = (القاعدة × الارتفاع) ÷ 2. مثلا إذا القاعدة 8 سم والارتفاع 5 سم، المساحة تكون (8 × 5) ÷ 2 = 20 سم²,إيه. مساحة المثلث نحسبوها بالقاعدة × الارتفاع. مثلا إذا القاعدة 8 سم والارتفاع 5 سم، المساحة تكون 40 سم².,chosen,instruction_adherence,A,
pref_000010,education,arabic,وش معناها moyenne فالإحصاء وكيفاش نحسبوها؟,الـmoyenne هي القيمة اللي تمثل المستوى العام تاع مجموعة أرقام. نحسبوها بجمع كامل القيم ومن بعد نقسمو المجموع على عدد القيم. مثلا عندك 10، 12 و14: المجموع 36، وعدد القيم 3، يعني moyenne = 36 ÷ 3 = 12,الـmoyenne هي أكبر قيمة في مجموعة الأرقام. مثلا عندك 10، 12 و14، الـmoyenne تكون 14.,chosen,instruction_adherence,A,
