candidate_id,category,script,user_text,assistant_text,decision,dialect_ok,factual_ok,instruction_ok,natural_ok,edited_user_text,edited_assistant_text,notes
cand_000001,education,arabic,تقدر تشرحلي كيفاش نحسبو مساحة المثلث؟,إيه. مساحة المثلث نحسبوها بالقانون: المساحة = (القاعدة × الارتفاع) ÷ 2. مثلا إذا القاعدة 8 سم والارتفاع 5 سم، المساحة تكون (8 × 5) ÷ 2 = 20 سم²,accept,yes,yes,yes,yes,,,Clear and natural
cand_000002,education,arabic,وش معناها moyenne فالإحصاء وكيفاش نحسبوها؟,الـmoyenne هي القيمة اللي تمثل المستوى العام تاع مجموعة أرقام. نحسبوها بجمع كامل القيم ومن بعد نقسمو المجموع على عدد القيم. مثلا عندك 10، 12 و14: المجموع 36، وعدد القيم 3، يعني moyenne = 36 ÷ 3 = 12,accept,yes,yes,yes,yes,,,Clear and natural
cand_000003,education,arabic,علاش كي نزيدو السرعة تاع الجسم تزيد الطاقة الحركية تاعو؟,خاطر الطاقة الحركية مرتبطة بالسرعة تربيع. القانون هو Ec = 1/2 mv²، وين m هي الكتلة وv هي السرعة. يعني إذا ضاعفنا السرعة، الطاقة الحركية تولي أربع مرات أكبر، بشرط الكتلة تبقى نفسها,accept,yes,yes,yes,yes,,,Clear and natural
cand_000004,education,arabic,أنا نخلط بين variance و écart-type، واش الفرق بيناتهم؟,الـvariance والـécart-type بجوج يقيسو شحال القيم متشتتة حول الـmoyenne. الفرق هو أن الـvariance تكون بوحدة مربعة، بينما الـécart-type يكون بنفس وحدة البيانات. رياضيا، écart-type هو الجذر التربيعي للـvariance: σ = √Var(X),accept,yes,yes,yes,yes,,,Clear and natural
cand_000005,education,arabic,وش الفرق بين RAM و disque dur فالكومبيوتر؟,الـRAM هي الذاكرة اللي يستعملها الكمبيوتر مؤقتا باش يخدم بالبرامج والبيانات اللي راهي قيد الاستعمال. كي تطفي الجهاز، المحتوى تاعها يروح. أما disque dur ولا SSD فهو stockage دائم، يعني الملفات والبرامج يبقاو محفوظين حتى بعد ما تطفي الجهاز. عادة الـRAM أسرع بزاف من التخزين,accept,yes,yes,yes,yes,,,Clear and natural
cand_000006,education,arabic,كيفاش نعرف واش العدد الأولي ولا لا؟,العدد الأولي هو عدد أكبر من 1 ما عندوش غير زوج قواسم موجبة: 1 ونفسو. باش تختبر عدد n، ما تحتاجش تجرب كامل الأعداد حتى n؛ يكفي تشوف القواسم حتى √n. مثلا 29 أولي، خاطر ما يقبلش القسمة بلا باقي على 2 ولا 3 ولا 4 ولا 5، و√29 تقريبًا 5.4,accept,yes,yes,yes,yes,,,Clear and natural
cand_000007,education,arabic,عندي امتحان بعد أسبوع وما نيش عارف كيفاش نقسم وقت المراجعة.,قسم الأسبوع على حسب المواد والصعوبة تاع كل وحدة. مثلا كل نهار دير 2 ولا 3 sessions مركزين، وكل session بين 45 و60 دقيقة، وبيناتهم pause قصيرة. ما تخليش المراجعة غير قراءة؛ حاول تحل تمارين، تجاوب من راسك بلا ما تشوف الحل، وفي آخر كل نهار راجع واش مازال ما فهمتوش. خلي اليوم الأخير للمراجعة العامة والتمارين اللي غلطت فيهم,accept,yes,yes,yes,yes,,,Clear and natural
cand_000008,education,arabic,وش معناها corrélation بين زوج متغيرات؟,الـcorrélation تقيس العلاقة الخطية بين زوج متغيرات. معامل Pearson مثلا يكون بين -1 و1. قيمة قريبة لـ1 تعني علاقة خطية موجبة قوية، وقيمة قريبة لـ-1 تعني علاقة خطية سالبة قوية، وقيمة قريبة للصفر تعني ما كاش علاقة خطية واضحة. بصح corrélation ما تعنيش بالضرورة causation,accept,yes,yes,yes,yes,,,Clear and natural
cand_000009,education,arabic,علاش السماء تبان زرقاء فالنهار؟,ضوء الشمس فيه ألوان مختلفة، والغلاف الجوي يشتت الضوء الأزرق أكثر من الألوان اللي عندها أطوال موجية أكبر. لهذا الضوء الأزرق يوصل لعينينا من اتجاهات مختلفة وبكمية أكبر، وبهذا السماء تبان زرقاء في النهار,accept,yes,yes,yes,yes,,,Clear and natural
cand_000010,education,arabic,تقدر تفسرلي واش هي الخوارزمية بطريقة بسيطة؟,الخوارزمية هي مجموعة خطوات مرتبة نستعملوها باش نحلّو مشكل ولا نديرو مهمة معينة. مثلا إذا حبيت ترتب أرقام من الأصغر للأكبر، تقدر تستعمل خوارزمية للترتيب تاخذ الأرقام وتطبق عليهم خطوات محددة حتى تتحصل على قائمة مرتبة. المهم أن الخطوات تكون واضحة وقابلة للتنفيذ,accept,yes,yes,yes,yes,,,Clear and natural
