id,category,script,prompt,chosen,rejected,preference_label,preference_reason,annotator,notes
pref_000001,algerian_culture,arabic,وش الفرق بين الكسرة والخبز الدار اللي يديروه فالدار؟,الكسرة هي خبز تقليدي جزائري معروف، غالبا تتدار بالسميد والماء والملح، وتتطيب فوق الطاجين ولا سطح ساخن. أما خبز الدار فالتسمية وطريقة التحضير يقدرو يختلفو من عائلة لعائلة؛ كاين اللي يديروه بالفرينة، كاين بالسميد، وكاين وصفات تخلط بيناتهم. يعني ماشي كل خبز يتدار فالدار نسميوه كسرة.,الكسرة وخبز الدار هما نفس الحاجة تقريبًا، والفرق غير في الاسم وطريقة التسمية. الكسرة تتدار عادة بالسميد، وخبز الدار يكون بالفرينة.,chosen,instruction_adherence,A,
pref_000002,algerian_culture,arabic,علاش فالجزائر كي يجي الضيف يصرّو عليه ياكل ويشرب حتى كي يقول بلي شبع؟,هذي داخلة في ثقافة الضيافة عند بزاف العائلات الجزائرية. تقديم الماكلة والقهوة ولا أتاي والحرص بلي الضيف ما يخرجش جايع يتشاف كنوع من الكرم وحسن الاستقبال. طبعا الطريقة تختلف من عائلة لعائلة، وبعض الناس اليوم ولات عندهم عادات أخف من قبل.,خاطر في الجزائر لازم الضيف يقبل الماكلة والشراب حتى كي يقول شبع، وإلا يبان بلي ما احترمش صاحب الدار. هذي عادة عند العائلات الجزائرية كامل.,chosen,instruction_adherence,A,
pref_000003,algerian_culture,arabic,الحايك كان غير في العاصمة ولا كان معروف في مناطق أخرى ثاني؟,الحايك ما كانش محصور غير في الجزائر العاصمة. كان معروف بأشكال واستعمالات مختلفة في مناطق من الجزائر، خاصة في المدن والمناطق الحضرية، بصح طريقة اللبس والشكل تقدر تختلف حسب المنطقة والفترة. واليوم بقى أكثر كلباس تراثي من كونه لباس يومي.,الحايك كان معروف أساسا في العاصمة، ومن تما ولى معروف كلباس جزائري تقليدي.,chosen,instruction_adherence,A,
pref_000004,algerian_culture,arabic,واش هو الفرق بين القفطان الجزائري والكراكو؟,الكراكو لباس نسائي تقليدي مرتبط خصوصا بالجزائر العاصمة، ويتلبس غالبا في المناسبات والأعراس، ومعروف بالسترة المطرزة والتفاصيل الفخمة. أما كلمة قفطان فتستعمل على ألبسة تقليدية مختلفة في الجزائر، وماشي كل قفطان هو نفس الشكل. حتى طريقة اللبس والتفاصيل تختلف حسب المنطقة والعائلة.,الكراكو والقفطان الجزائري هما نفس اللباس تقريبًا، غير التسمية تختلف حسب المنطقة. بجوج معروفين خاصة في الأعراس.,chosen,instruction_adherence,A,
pref_000005,algerian_culture,arabic,علاش فالأعراس الجزائرية العروس تبدل بزاف اللبسات؟,تبديل اللبسات في العرس موجود عند بزاف العائلات، والهدف غالبا يكون إظهار ألبسة تقليدية مرتبطة بمناطق أو مراحل مختلفة من الاحتفال. بصح ماشي كل الأعراس يديرو نفس العدد ولا نفس اللبسات؛ الأمر يختلف حسب المنطقة، العائلة والميزانية وحتى الذوق الشخصي.,العروس تبدل بزاف اللبسات لأن هذا هو التقليد في الأعراس الجزائرية، وكل عرس عادة يكون فيه عدة ألبسة مختلفة.,chosen,instruction_adherence,A,
pref_000006,algerian_culture,arabic,هل الكسكس في الجزائر عندو نفس الطريقة في كامل البلاد؟,لا، الكسكس منتشر بزاف في الجزائر بصح طرق تحضيرو وتقديمو تختلف من منطقة لعائلة. نوع الخضر، المرق، التوابل وحتى شكل الحبات يقدرو يتبدلو. مثلا في بعض المناطق تلقى وصفات مرتبطة بالبيئة المحلية والمكونات اللي كانت متوفرة فيها. لذلك صعيب نقولو كاينة وصفة جزائرية وحدة للكسكس.,إيه، الكسكس في الجزائر عندو طريقة وحدة تقريبًا: نفس الحبات ونفس المرق ونفس طريقة التقديم، والاختلافات بسيطة برك.,chosen,instruction_adherence,A,
pref_000007,algerian_culture,arabic,وش معناها كي واحد جزائري يقول لواحد آخر «صحا»؟,«صحا» كلمة تتستعمل بزاف في الدارجة الجزائرية، ومعناها يتبدل شوية حسب السياق. تقدر تكون تحية أو تعبير على التقدير، وتقدر تتقال مثلا بعد الماكلة بمعنى قريب لـ«بالصحة» أو «يعطيك الصحة». يعني السياق ونبرة الكلام مهمين.,«صحا» معناها دائمًا «شكرا»، وما تتبدلش معناها حسب السياق.,chosen,instruction_adherence,A,
pref_000008,algerian_culture,arabic,في رمضان، علاش المائدة الجزائرية مرات تكون عامرة بزاف أطباق؟,رمضان عند بزاف العائلات وقت يجتمعو فيه على المائدة، ولهذا تلقى أطباق متنوعة كيما الشربة، البوراك، السلطات وأطباق أخرى حسب المنطقة والعائلة. جزء من الموضوع مرتبط بالعادة والاجتماع العائلي، وماشي شرط كل دار تكون عندها نفس المائدة ولا نفس الأطباق.,خاطر المائدة في رمضان لازم تكون عامرة، وعادة الجزائريين كامل يحضرو بزاف أطباق كيما الشربة والبوراك.,chosen,instruction_adherence,A,
pref_000009,algerian_culture,arabic,وش معروف على اللباس التقليدي في تلمسان؟,تلمسان عندها تراث غني في اللباس التقليدي، ومن الألبسة المعروفة فيها الشدة التلمسانية، اللي ترتبط خصوصا بمراسم الزواج والمناسبات. فيها قطع وزخارف وتفاصيل كثيرة، واللباس التقليدي التلمساني تأثر بتاريخ المدينة وتنوعها الثقافي. اليوم غالبا نشوفوه في الأعراس والمناسبات التراثية.,تلمسان معروفة أساسًا باللباس الأبيض التقليدي، وهو اللباس اللي يلبسوه النساء في الأعراس.,chosen,instruction_adherence,A,
pref_000010,algerian_culture,arabic,هل موسيقى الراي أصلها غير من وهران؟,الراي مرتبط بقوة بالغرب الجزائري، وخاصة وهران والمنطقة المحيطة بها، بصح تاريخو ما يتختصرش في مدينة وحدة. تطور من تقاليد موسيقية وشعرية شعبية، ومن بعد تبدل مع الوقت ودخلتلو آلات وأساليب حديثة. لذلك وهران عندها دور مهم جدا في تاريخ الراي، بصح الظاهرة أوسع من مدينة وحدة.,الراي أصلو من وهران، ومن بعد انتشر لباقي الجزائر والدول الأخرى.,chosen,instruction_adherence,A,
