candidate_id,category,script,user_text,assistant_text,decision,dialect_ok,factual_ok,instruction_ok,natural_ok,edited_user_text,edited_assistant_text,notes
general_qa_000001,general_qa,arabic,علاش البحر لونو يبان أزرق؟,اللون اللي نشوفوه في البحر مرتبط بطريقة تفاعل الضوء مع الماء. الماء يمتص بعض الألوان أكثر من غيرها، والضوء الأزرق يوصل ويتشتت بطريقة تخليه يبان أكثر لعينينا. واللون يقدر يتبدل حسب العمق، حالة البحر والسماء.,accept,yes,yes,yes,yes,,,Clear and natural
general_qa_000002,general_qa,arabic,واش الفرق بين القارة والدولة؟,القارة هي مساحة جغرافية كبيرة تضم دول ومناطق متعددة، كيما إفريقيا وأوروبا. أما الدولة فهي كيان سياسي عندو حدود وحكومة وسكان، كيما الجزائر. يعني القارة تقدر تضم بزاف دول، والدولة تكون جزء من قارة.,accept,yes,yes,yes,yes,,,Clear and natural
general_qa_000003,general_qa,arabic,كيفاش يخدم GPS باش يعرف وين رانا؟,الـGPS يعتمد على إشارات جاية من أقمار صناعية تدور حول الأرض. الهاتف ولا الجهاز يستقبل الإشارات من عدة أقمار ويستعمل الوقت اللي خذات الإشارة باش تقدر المنظومة تحدد الموقع تقريبًا. ومن بعد التطبيق يستعمل هذي المعلومات باش يبينلك موقعك ولا يحسبلك الطريق.,accept,yes,yes,yes,yes,,,Clear and natural
general_qa_000004,general_qa,arabic,علاش الإنسان يحتاج ينعس؟,النوم مهم للجسم والمخ، بصح العلم مازال ما عندوش جواب واحد يفسر كل وظائف النوم. أثناء النوم تصرا عمليات مرتبطة بالذاكرة، تنظيم بعض الوظائف الحيوية والتعافي الجسدي. قلة النوم تقدر تأثر على التركيز، المزاج والأداء خلال النهار.,accept,yes,yes,yes,yes,,,Clear and natural
general_qa_000005,general_qa,arabic,واش هو التضخم الاقتصادي وباش يهمنا؟,التضخم يعني ارتفاع عام ومستمر في مستوى أسعار السلع والخدمات مع مرور الوقت. كي ترتفع الأسعار أسرع من الدخل، القدرة الشرائية تقدر تنقص، يعني نفس المبلغ ما يعودش يشري نفس الكمية اللي كان يشريها من قبل. بصح تأثير التضخم يختلف حسب الأسعار والدخل والاقتصاد كامل.,accept,yes,yes,yes,yes,,,Clear and natural
general_qa_000006,general_qa,arabic,علاش القمر مرات نشوفوه فالنهار؟,خاطر القمر ما يبانش غير فالليل. هو يدور حول الأرض، وموقعه بالنسبة للشمس والأرض يتبدل باستمرار، لذلك يقدر يكون فوق الأفق في النهار. إذا كانت الإضاءة والظروف مناسبة، نقدروا نشوفوه حتى والسماء مازال مضوية.,accept,yes,yes,yes,yes,,,Clear and natural
general_qa_000007,general_qa,arabic,واش الفرق بين virus و bacteria؟,البكتيريا كائنات حية مجهرية تقدر تتكاثر وحدها في ظروف مناسبة، وبعضها يسبب أمراض وبعضها مفيد. الفيروسات أصغر بزاف وما تتكاثرش وحدها؛ تحتاج تدخل لخلايا كائن حي وتستعمل آلياتها باش تنتج نسخ جديدة. لهذا العلاج يختلف حسب السبب، والمضادات الحيوية مثلا ما تعالجش العدوى الفيروسية.,accept,yes,yes,yes,yes,,,Clear and natural
general_qa_000008,general_qa,arabic,علاش الحديد يصدأ كي يبقى مدة في بلاصة رطبة؟,الحديد يقدر يتفاعل مع الأكسجين في وجود الماء، وتتكوّن مع الوقت مواد أكسدة من بينها الصدأ. الرطوبة تسهّل هذي العملية، ولهذا الحديد يتآكل أسرع في ظروف فيها ماء ورطوبة مقارنة ببيئة جافة.,accept,yes,yes,yes,yes,,,Clear and natural
general_qa_000009,general_qa,arabic,كيفاش يخدم QR code؟,الـQR code هو نمط من المربعات السوداء والبيضاء يخزن معلومات بطريقة قابلة للقراءة آليا. كاميرا الهاتف تقراه، والبرنامج يحلل ترتيب المربعات ويحوّلو للمعلومة المخزنة، مثلا رابط ويب، نص ولا بيانات أخرى. كاين حتى أجزاء مخصصة باش تساعد في تصحيح بعض الأخطاء إذا الكود ما تقراش كامل.,accept,yes,yes,yes,yes,,,Clear and natural
general_qa_000010,general_qa,arabic,واش معناها كلمة بيروقراطية كي يقولوها على الإدارة؟,البيروقراطية تشير لنظام إداري يعتمد على قواعد وإجراءات وهيكلة واضحة لتسيير العمل. الكلمة مرات تستعمل بشكل سلبي كي تكون الإجراءات كثيرة ومعقدة وتسبب التأخير، بصح في الأصل وجود القواعد والتنظيم وحدو ما يعنيش بالضرورة حاجة سلبية.,accept,yes,yes,yes,yes,,,Clear and natural
general_qa_000011,general_qa,arabic,هل الماء السخون يتجمد أسرع من الماء البارد؟,ما نقدرش نقولو كقاعدة عامة بلي الماء السخون يتجمد دائما أسرع. كاينة ظاهرة معروفة باسم Mpemba effect وين في ظروف معينة الماء الأكثر سخونة يقدر يتجمد قبل الأبرد، بصح النتيجة تعتمد على ظروف التجربة، وماشي قانون بسيط ينطبق في كل الحالات.,accept,yes,yes,yes,yes,,,Clear and natural
general_qa_000012,general_qa,arabic,علاش كي نكونو في بلاصة عالية نحسو بالبرد أكثر؟,بشكل عام، درجة حرارة الهواء تنقص كلما نطلعنا في الارتفاع داخل طبقات الغلاف الجوي القريبة من سطح الأرض. لهذا المناطق الجبلية غالبا تكون أبرد من مناطق منخفضة، رغم أن الفرق الحقيقي يعتمد على الارتفاع والطقس والرطوبة وعوامل أخرى.,accept,yes,yes,yes,yes,,,Clear and natural
general_qa_000013,general_qa,arabizi,wach الفرق بين SSD و HDD؟,SSD ما فيهش أجزاء ميكانيكية متحركة، وعادة يكون أسرع في الإقلاع وفتح الملفات والبرامج. HDD يعتمد على أقراص وأجزاء ميكانيكية، وغالبا يعطي سعة كبيرة بسعر أقل، بصح سرعته أقل ويتأثر أكثر بالصدمات. إذا الأولوية للسرعة، SSD غالبا هو الاختيار الأفضل.,accept,yes,yes,yes,yes,,,Clear and natural
general_qa_000014,general_qa,arabizi,3lach بعض الناس كي يشربو café فالليل ما يقدروش يرقدو؟,الكافيين يقدر ينقص الإحساس بالنعاس لأنه يتداخل مع عمل مادة اسمها adenosine في الدماغ. التأثير يختلف من شخص لآخر، وزيد الكافيين يقدر يبقى في الجسم عدة ساعات، لذلك café في آخر النهار يقدر يأثر على النوم عند بعض الناس.,accept,yes,yes,yes,yes,,,Clear and natural
general_qa_000015,general_qa,arabizi,ch7al من قارة كاينة فالعالم؟,التقسيم الأكثر استعمالا في المدارس هو سبع قارات: إفريقيا، آسيا، أوروبا، أمريكا الشمالية، أمريكا الجنوبية، أوقيانوسيا، والقارة القطبية الجنوبية. بصح طرق تقسيم القارات تختلف شوية حسب النظام الجغرافي المعتمد.,accept,yes,yes,yes,yes,,,Clear and natural
