candidate_id,category,script,user_text,assistant_text,decision,dialect_ok,factual_ok,instruction_ok,natural_ok,edited_user_text,edited_assistant_text,notes
code_switching_000001,code_switching,arabic,راني نخدم على مشروع تاع الجامعة، بصح الـdeadline قرب ومازال ما كملتش الجزء الأخير. واش تنصحني ندير؟,قسم الخدمة لي بقات لخطوات صغار، وحدد واش لازم يكمل اليوم وواش يقدر يستنى. ما تضيعش الوقت في التفاصيل الثانوية، ركز على الجزء الضروري باش تلحق الـdeadline.,accept,yes,yes,yes,yes,,,Clear and natural
code_switching_000002,code_switching,arabic,التليفون تاعي كل مرة يطلعلي مشكل في الـapplication، ومن بعد يخرج وحدو. واش نقدر نجرب؟,أول حاجة دير update للـapplication إذا كاين، ومن بعد عاود شعل التليفون. إذا بقى نفس المشكل، شوف إذا كاين espace كافي ولا جرّب تحذف الـapplication وترجع تثبتها.,accept,yes,yes,yes,yes,,,Clear and natural
code_switching_000003,code_switching,arabic,غدوة عندي entretien على stage، وراسي راهو شوية مخلوط. كيفاش نوجد روحي؟,راجع مليح واش يدير الفريق ولا المؤسسة، وحضر تعريف قصير على روحك وعلى المشاريع لي خدمت عليهم. وزيد حضر إجابات على أسئلة بسيطة كيما علاش حاب الـstage وواش تقدر تضيف للفريق.,accept,yes,yes,yes,yes,,,Clear and natural
code_switching_000004,code_switching,arabic,الـWi-Fi راهو يخدم مليح في الهاتف بصح في الـordinateur بطيء بزاف، واش ممكن يكون السبب؟,ممكن المشكل يكون من الـordinateur نفسه ولا من الـWi-Fi adapter، ماشي بالضرورة من الشبكة. جرّب نفس الشبكة في جهاز آخر، وإذا غير الـordinateur لي بطيء شوف الـdriver والبرامج لي راهي تستعمل الانترنت.,accept,yes,yes,yes,yes,,,Clear and natural
code_switching_000005,code_switching,arabic,رحت للإدارة على جال dossier، قالولي لازم نزيد وثيقة ما كانتش مذكورة في الموقع. واش ندير؟,إذا تقدر، اكتب اسم الوثيقة بالضبط واسقسيهم علاش مطلوبة ووين تقدر تجيبها. وخلي عندك نسخة من الـdossier والمعلومات لي كانت منشورة في الموقع باش ما تعاودش نفس المشوار بلا فايدة.,accept,yes,yes,yes,yes,,,Clear and natural
code_switching_000006,code_switching,arabic,البياع قالي livraison مجانية بصح كي جيت نأكد commande زادلي مصاريف. كيفاش نسقسيه بلا ما ندير مشكل؟,قولّو بهدوء: «قلتلي livraison gratuite، بصح في الـcommande بانلي مبلغ زيادة، تقدر توضّحلي علاش؟». هكذا تخليه يفسر قبل ما تخلص.,accept,yes,yes,yes,yes,,,Clear and natural
code_switching_000007,code_switching,arabic,صحابي كامل راهوم في social media، بصح أنا ما نحبش نحط كل تفاصيل حياتي. هذا عادي؟,عادي بزاف. تقدر تستعمل social media غير للحوايج لي تحب تشاركهم، وماشي لازم تحط حياتك الخاصة كاملة. المهم تكون مرتاح مع واش تنشر ومع الناس لي يقدرو يشوفوه.,accept,yes,yes,yes,yes,,,Clear and natural
code_switching_000008,code_switching,arabic,في اللعبة الـupdate الجديد خلى الـperformance تهبط عندي. نرجع للنسخة القديمة ولا نستنى؟,إذا المشكل بدا مباشرة بعد الـupdate، شوف أولاً إذا اللاعبين الآخرين عندهم نفس المشكل ولا كاين patch جديد. إذا ما كاينش حل واضح، الانتظار شوية ممكن يكون أحسن من تبديل النسخة بلا ما تعرف السبب.,accept,yes,yes,yes,yes,,,Clear and natural
code_switching_000009,code_switching,arabic,الأستاذ عطانا feedback على الـprojet وقال بلي الفكرة مليحة بصح الـméthodologie ناقصة. واش يقصد غالبا؟,غالباً يقصد بلي الفكرة والهدف واضحين، بصح ما شرحتوش كفاية كيفاش راكم راح تخدمو عليها: البيانات، الطريقة، الخطوات، وكيفاش راح تقيسو النتيجة. يعني لازم تقوّيو الجزء لي يشرح طريقة العمل.,accept,yes,yes,yes,yes,,,Clear and natural
code_switching_000010,code_switching,arabic,حاب نبعث candidature لخدمة، بصح الـCV تاعي بالفرنسية. نقدر نبعثو هكذا ولا نترجمو؟,شوف لغة إعلان الخدمة أولاً. إذا الإعلان والجهة يستعملو الإنجليزية، الأفضل يكون الـCV بالإنجليزية؛ وإذا كل التواصل بالفرنسية، النسخة الفرنسية مناسبة. المهم ما تترجمش الـCV حرفياً وتخلي المصطلحات المهنية طبيعية.,accept,yes,yes,yes,yes,,,Clear and natural
code_switching_000011,code_switching,arabic,راني نستنى في réponse تاع واحد بعثتلو message على الخدمة، بصح ما جاوبنيش من نهار الاثنين. نعاود نبعثلو؟,إيه، تقدر تدير follow-up قصير ومحترم، خاصة إذا دازو عدة أيام. ذكّرو بالـmessage الأول وقولّو غير بلي حبيت تعرف إذا قدر يشوفه، بلا ما تضغط عليه.,accept,yes,yes,yes,yes,,,Clear and natural
code_switching_000012,code_switching,arabic,في الـmeeting فهمت نص الكلام برك، خاصة كي بداو يهضرو بالإنجليزية. كيفاش نطلب منهم يعاودو يشرحولي بلا ما نبان ما فهمت والو؟,تقدر تقول عادي: «سمحولي، نحب نتأكد بلي فهمت النقطة هذي مليح، تقدروا توضحوها مرة أخرى؟». ما فيها حتى مشكل، وبالعكس خير ما تخرج من الـmeeting وانت فاهم حاجة غالطة.,accept,yes,yes,yes,yes,,,Clear and natural
code_switching_000013,code_switching,arabizi,"Rani n9ra f l'université w 3andi projet, bsah l'prof 3tana deadline 9rib بزاف. Kifach norganizi wa9ti?",Qassem l'projet l parties sghar w 7edded chnoua لازم يكمل اليوم. Khalli les détails secondaires lel'kher w ركز 3la l'essentiel باش تلحق l'deadline.,accept,yes,yes,yes,yes,,,Clear and natural
code_switching_000014,code_switching,arabizi,Mon téléphone rah yti7 men l'game kol mara ndir update. N7eb n3ref ida l'mochkil men l'app wela men téléphone.,Jarrab نفس l'game 3la appareil akhor ila t9der. Ila khdem مليح تما، غالباً المشكل من téléphone ta3ek wela men configuration ta3ou، ماشي بالضرورة من l'app.,accept,yes,yes,yes,yes,,,Clear and natural
code_switching_000015,code_switching,arabizi,N7eb ns9si vendeur 3la produit مستعمل، bsah ma n7ebch nban beli rani نشك فيه بزاف. Chnoua n9olou?,"T9der t9olou b simple: «N7eb n3ref chwiya 3la l'état ta3ou, ch7al men مدة استعملتو و ida darlek chi réparation.» Haka تبان غير حاب تعرف الحالة قبل ما تشري.",accept,yes,yes,yes,yes,,,Clear and natural
code_switching_000016,code_switching,arabizi,"F service ta3na kayen réunion ghodwa, w l'chef 9al لازم نوجد update 3la projet. Wach لازم ندير فيه؟",Dir résumé قصير على واش كملت، واش راهو باقي، وأي problème عطلك. Ila kayen حاجة تحتاج décision men l'équipe، ذكرها بوضوح باش ما يضيعش الوقت فالـréunion.,accept,yes,yes,yes,yes,,,Clear and natural
