candidate_id,category,script,user_text,assistant_text,decision,dialect_ok,factual_ok,instruction_ok,natural_ok,edited_user_text,edited_assistant_text,notes
daily_life_000001,daily_life,arabic,غدوة عندي نهار معمر، كيفاش نرتب وقتي باش ما نضيعش؟,قبل ما ترقد، كتب كامل الحوايج اللي لازم تديرهم ورتبهم حسب الأولوية. الصباح خليه للحوايج اللي يحتاجو تركيز، والمشاوير ديرهم في نفس الجهة إذا قدرت. وخلي شوية وقت احتياط بين كل حاجة وحاجة باش أي تأخير ما يقلبلكش البرنامج كامل.,accept,yes,yes,yes,yes,,,Clear and natural
daily_life_000002,daily_life,arabic,راني نقرا فالدار بصح كل شوية نلقى روحي نحل التليفون، واش ندير؟,حط التليفون بعيد عليك ولا ديرلو mode avion وقت القراية. جرب تقرا 40 ولا 50 دقيقة ومن بعد دير pause قصيرة. وإذا تحتاج التليفون للقراية، سد notifications تاع التطبيقات اللي ما عندهاش علاقة بالدرس.,accept,yes,yes,yes,yes,,,Clear and natural
daily_life_000003,daily_life,arabic,عندي بطاطا وبيض وبرك فالدار، نقدر ندير بيهم حاجة سريعة؟,إيه، تقدر تدير omelette بالبطاطا. قطع البطاطا صغار وقليها في شوية زيت حتى تطرى وتتحمر شوية. من بعد اخفق البيض، زيد الملح والتوابل اللي عندك، وصبّو فوق البطاطا وخليه يطيب على نار هادئة حتى يشد البيض. إذا عندك بصل ولا جبن تقدر تزيدهم، بصح ماشي ضروري.,accept,yes,yes,yes,yes,,,Clear and natural
daily_life_000004,daily_life,arabic,إذا كان عندي rendez-vous على 10، شحال من بكري لازم نخرج؟,يعتمد على الطريق ووسيلة النقل. إذا الطريق عادة ياخذ 30 دقيقة، حاول تخرج حوالي 9:15 ولا 9:20 باش يكون عندك وقت احتياط للتأخير. وإذا الموعد مهم بزاف، الأحسن توصل قبل بـ10 إلى 15 دقيقة.,accept,yes,yes,yes,yes,,,Clear and natural
daily_life_000005,daily_life,arabic,الباص فاتني وأنا لازم نوصل بكري، واش ندير؟,شوف مباشرة واش كاين transport آخر لنفس الجهة: bus آخر، tramway إذا متوفر، ولا taxi حسب المسافة والوقت. وإذا كنت رايح لموعد مهم، عيط للشخص وقولو بلي راك متأخر شوية بدل ما تخليه يستناك بلا خبر.,accept,yes,yes,yes,yes,,,Clear and natural
daily_life_000006,daily_life,arabic,راني خارج نشري، كيفاش ما ننساش الحوايج اللي نحتاجهم؟,دير liste قبل ما تخرج، وقسمها مثلا: خضرة، مواد غذائية، نظافة، وحوايج أخرى. كي تحط حاجة في panier علّم عليها مباشرة. وإذا عندك budget محدد، كتب حتى الكمية والسعر التقريبي باش ما تفوتش المبلغ اللي حاسب عليه.,accept,yes,yes,yes,yes,,,Clear and natural
daily_life_000007,daily_life,arabic,صحبي راهو يستناني وأنا ما نقدرش نروح اليوم، كيفاش نقولو بلا ما نجرحو؟,قولّو بصراحة وبطريقة بسيطة: «سمحلي خويا، اليوم ما نقدرش نجي، طرالي شغل وما نيش قادر نلحق. نعاودوها نهار آخر إن شاء الله». هكذا تكون واضح وما تخليهش يستنى بلا ما يعرف.,accept,yes,yes,yes,yes,,,Clear and natural
daily_life_000008,daily_life,arabic,نسيت وين حطيت مفاتيح الدار، كاش طريقة باش نلقاهم بسرعة؟,ما تقلبش عشوائيا. رجع بذاكرتك لآخر لحظة استعملت فيها المفاتيح، ومن بعد عاود نفس المسار: الباب، الجيوب، sac، الطاولة ولا المكان اللي عادة تحطهم فيه. شوف حتى الأماكن غير المعتادة كيما فوق الثلاجة ولا جنب الشاحن إذا كنت كنت مشغول.,accept,yes,yes,yes,yes,,,Clear and natural
daily_life_000009,daily_life,arabic,نحب ننظم نهاري بين القراية، الراحة وشوية sport.,دير برنامج بسيط وما تعمروش بزاف. مثلا الصباح خصص وقت للقراية المركزة، من بعد pause وغدا، وبعدها session ثانية. خلي 30 إلى 60 دقيقة للرياضة حسب وقتك، وفي الليل دير مراجعة خفيفة ولا حضّر لنهار الغد. المهم البرنامج يكون واقعي وتقدر تلتزم بيه.,accept,yes,yes,yes,yes,,,Clear and natural
daily_life_000010,daily_life,arabic,الماكلة اللي طيبتها بقات من البارح، كيفاش نسخنها بلا ما تنشف؟,إذا كانت في الثلاجة ومحفوظة مليح، سخنها على نار هادئة وزيدلها شوية ماء ولا صوص حسب نوع الماكلة، وغطّيها باش ما تفقدش الرطوبة. في الميكروويف، غطّيها وخدم التسخين على مراحل قصيرة وحرّكها بيناتهم.,accept,yes,yes,yes,yes,,,Clear and natural
