candidate_id,category,script,user_text,assistant_text,decision,dialect_ok,factual_ok,instruction_ok,natural_ok,edited_user_text,edited_assistant_text,notes
technical_000001,technical,arabic,الواي فاي راهو متصل في التليفون بصح الإنترنت ما راهيش تخدم. واش نقدر نجرّب؟,أول حاجة شوف إذا المشكل غير في التليفون ولا في الأجهزة كامل. جرّب جهاز آخر على نفس الشبكة، ومن بعد عاود شعل الراوتر والتليفون. إذا الأجهزة كامل ما فيهاش إنترنت، ممكن المشكل من الاتصال نفسه؛ وإذا غير التليفون، نقدر نشكو في إعدادات الشبكة تاعو.,accept,yes,yes,yes,yes,,,Clear and natural
technical_000002,technical,arabic,علاش كي نعمر الـRAM تاع الكمبيوتر بزاف يولي ثقيل؟,خاطر الـRAM هي الذاكرة لي يستعملها النظام والبرامج باش يخدمو بسرعة. كي تقرب تعمر، النظام يقدر يستعمل جزء من التخزين كذاكرة مؤقتة، والتخزين عادة أبطأ بزاف من الـRAM، وهنا تقدر تحس الكمبيوتر ولى ثقيل. سد البرامج لي ما تحتاجهمش وشوف شكون راهو ياكل الذاكرة.,accept,yes,yes,yes,yes,,,Clear and natural
technical_000003,technical,arabic,واش الفرق بين SSD وRAM؟ نخلط بينهم ديما.,الـRAM تستعملها البرامج أثناء الخدمة، يعني هي ذاكرة مؤقتة وتفرغ كي يطفي الجهاز. الـSSD هو التخزين لي تتحط فيه الملفات، البرامج والنظام ويبقاو محفوظين حتى بعد ما تطفي الكمبيوتر. باختصار: RAM للخدمة الحالية، وSSD للتخزين.,accept,yes,yes,yes,yes,,,Clear and natural
technical_000004,technical,arabic,ثبتّ برنامج في لينكس بصح كي نحاول نشغلو من التيرمينال يقول ما لقاوش الأمر. واش ممكن يكون السبب؟,ممكن البرنامج تثبت بصح الأمر تاعو ما راهوش في الـPATH، وممكن حتى اسم الأمر ما يكونش نفس اسم الحزمة لي ثبتّها. شوف أولاً كيفاش الحزمة توثق طريقة التشغيل، وتقدر تستعمل `which` ولا `command -v` باش تشوف إذا الأمر معروف للنظام.,accept,yes,yes,yes,yes,,,Clear and natural
technical_000005,technical,arabic,الكمبيوتر تاعي بدا يبطأ مع الوقت، مع أني ما بدلت والو في العتاد. منين نبدأ نشخص المشكل؟,ابدأ بالحوايج البسيطة: شوف استعمال الـCPU والـRAM، والمساحة الباقية في القرص، والبرامج لي يخدمو مع بداية النظام. إذا الاستعمال عالي، حاول تعرف شكون البرنامج لي راهو مستهلك الموارد. وإذا القرص قريب يعمر، هذا زادا يستاهل يتفحص.,accept,yes,yes,yes,yes,,,Clear and natural
technical_000006,technical,arabic,واش معناها API؟ نسمع بيها بزاف في البرمجة.,الـAPI هي طريقة منظمة تخلي برنامج يهدر مع برنامج آخر. مثلاً تطبيق الطقس يقدر يبعث طلب لخدمة خارجية عبر API، والخدمة ترجعله بيانات الطقس. يعني ماشي لازم التطبيق يعرف كيفاش الخدمة الداخلية تخدم؛ يكفي يعرف واش يبعث وواش يستقبل.,accept,yes,yes,yes,yes,,,Clear and natural
technical_000007,technical,arabic,عندي ملف مهم وحاب نديرلو backup. إذا نسختو في نفس القرص في dossier آخر، هذا يكفي؟,ماشي أفضل backup، خاطر إذا القرص نفسه تعطب ولا ضاع، النسختين يضيعو معاه. الأحسن يكون عندك نسخة في مكان آخر، مثلاً قرص خارجي ولا تخزين سحابي، حسب أهمية الملف. وإذا الملف مهم بزاف، من الأحسن ما تعتمدش على نسخة وحدة.,accept,yes,yes,yes,yes,,,Clear and natural
technical_000008,technical,arabic,علاش الـGPU مهم بزاف في تدريب موديلات الذكاء الاصطناعي؟,خاطر تدريب الشبكات العصبية فيه عدد كبير من العمليات الحسابية المتوازية، والـGPU مصمم مليح لهذا النوع من الحسابات. هذا ما يعنيش بلي الـCPU ما يقدرش يدرب، بصح غالباً الـGPU يكون أنسب للتدريب على أحجام كبيرة من البيانات والموديلات.,accept,yes,yes,yes,yes,,,Clear and natural
technical_000009,technical,arabic,كل مرة نفتح browser نلقى بزاف tabs قداميين راهم يرجعو وحدهم. نقدر نحبس هاذ الشي؟,إيه، غالباً كاين إعداد في الـbrowser يخليه يرجع الجلسة السابقة عند التشغيل. شوف إعدادات البداية، وإذا لقيت خيار كيما استرجاع الـtabs السابقة عطلو واختار فتح صفحة جديدة إذا هذا هو لي حابو.,accept,yes,yes,yes,yes,,,Clear and natural
technical_000010,technical,arabic,في Python واش الفائدة من virtual environment؟,الـvirtual environment تخليك تعزل الحزم تاع مشروع على الحزم تاع مشاريع أخرى. مثلاً مشروع يقدر يحتاج version معينة من مكتبة، ومشروع آخر يحتاج version مختلفة، ومن غير عزل يقدرو يتعارضو. هكذا كل مشروع يبقى عندو البيئة تاعو.,accept,yes,yes,yes,yes,,,Clear and natural
technical_000011,technical,arabic,في Git درت تغييرات ومن بعد حبيت نجرب حاجة بلا ما نفسد الخدمة الحالية. واش نقدر ندير؟,تقدر تدير branch جديد للتجربة وتخلي الخدمة الحالية في branch تاعها. هكذا التغييرات الجديدة تبقى معزولة، وإذا التجربة ما نفعتش تقدر ترجع بسهولة للخدمة الأصلية.,accept,yes,yes,yes,yes,,,Clear and natural
technical_000012,technical,arabic,واش الفرق بين training وinference في موديل AI؟,في الـtraining، الموديل يتعلم من البيانات وتتبدل الـparameters تاعو باش يحسن النتائج. في الـinference، الموديل يكون راهو متعلم ونستعملوه باش يعطي prediction ولا response على input جديد، من غير ما نديرو تدريب عادي في نفس العملية.,accept,yes,yes,yes,yes,,,Clear and natural
technical_000013,technical,arabizi,3lach Python y9der ykhdem m3a packages mokhtalfin f nafs l'ordinateur bla ma ykhaltou f ba3d?,Ila تستعمل virtual environments، كل projet يقدر يكون عندو packages w versions ta3ou. Haka ila projet louwel y7taj version معينة و projet tani version okhra، ma ykounch conflit binathom.,accept,yes,yes,yes,yes,,,Clear and natural
technical_000014,technical,arabizi,L'ordinateur ta3i y7ma بزاف ki nفتح jeu، normal wela لازم n9la9?,"Chwiya ta3 l7rara m3a jeu t9der tkoun normal, surtout ila l'CPU wela GPU rahom yekhdmou b charge. Bsah ila yطفى وحدو، performance تهبط بزاف، wela l7rara تبقى عالية حتى مع خدمة خفيفة، hna لازم tchecki ventilation, poussière w température.",accept,yes,yes,yes,yes,,,Clear and natural
technical_000015,technical,arabizi,Ki ndir git push y3tini error w ma y7abch yb3at l'changes. Chnoua nchecki louwel?,Chouf l'error exactement قبل ما تبدل أي حاجة. Tchecki ila remote صحيح، وila branch li rak khadem 3liha هي نفسها لي راك تحاول تدفع ليها. Ila kayen problème ta3 authentication، لازم تشوف إعدادات accès تاع GitHub ولا الـremote.,accept,yes,yes,yes,yes,,,Clear and natural
technical_000016,technical,arabizi,F téléphone ta3i l'espace rah 3amer presque كامل، bsah ma n7abch nms7 photos. Kifach n9der nخفف l'espace?,"Awal haja chof شكون راهو ياكل l'espace: videos, downloads, applications wela cache. Nحي الملفات المؤقتة والحوايج لي ما تحتاجهمش، و ila عندك backup مضمون للصور تقدر تنقل نسخة لمكان آخر بدل ما تمسحهم مباشرة.",accept,yes,yes,yes,yes,,,Clear and natural
technical_000017,technical,mixed,الـGPU تاعي عندو 4GB VRAM، وكي نشغل model كبير يعطيني out of memory. علاش حتى كي يكون عندي RAM كافية ما يخدمش؟,خاطر الـVRAM تاع الـGPU والـRAM تاع الكمبيوتر ماشي نفس الذاكرة. إذا الموديل والعمليات لي يحتاجهم الـGPU يفوتو الـ4GB المتاحة، تقدر تجيك `out of memory` حتى لو الـRAM مازال فيها بلاصة. تقدر تنقص batch size ولا تستعمل model أصغر أو quantization حسب الحالة.,accept,yes,yes,yes,yes,,,Clear and natural
technical_000018,technical,mixed,الـWi-Fi connecté بصح المواقع ما يفتحوهمش، بينما بعض التطبيقات يخدمو عادي. نبدأ بالـDNS ولا نعاود نثبت كلش؟,ما تحتاجش تعاود تثبت كلش مباشرة. بما أن بعض التطبيقات راهي تخدم، المشكل يقدر يكون في الـbrowser ولا DNS ولا حتى في موقع معين. جرّب موقع آخر وbrowser آخر أولاً، ومن بعد تقدر تفحص إعدادات الـDNS إذا المشكل باين متعلق بحل أسماء المواقع.,accept,yes,yes,yes,yes,,,Clear and natural
technical_000019,technical,mixed,واش الفرق بين Git وGitHub؟ ديما نحسبهم نفس الحاجة.,Git هو outil يخليك تتابع تغييرات الـcode وتخدم بالـbranches والـcommits حتى بلا إنترنت. GitHub هو plateforme على الإنترنت تقدر تحط فيها repositories تاع Git، وتشارك الكود وتخدم مع ناس آخرين. يعني Git هو النظام، وGitHub خدمة مبنية عليه وتزيد عليه collaboration.,accept,yes,yes,yes,yes,,,Clear and natural
